# iter  residual_norm2  entropy_norm2
# Fortran-like CFL history for Bump, Roe scheme, CFL=0.5
    1  9.93958722E-003  2.98187417E-003
   11  9.35507985E-003  2.80652196E-003
   21  8.80494505E-003  2.64148152E-003
   31  8.28716151E-003  2.48614645E-003
   41  7.79982679E-003  2.33994604E-003
   51  7.34115029E-003  2.20234309E-003
   61  6.90944676E-003  2.07283203E-003
   71  6.50313001E-003  1.95093700E-003
   81  6.12070714E-003  1.83621014E-003
   91  5.76077306E-003  1.72822992E-003
  101  5.42200528E-003  1.62659958E-003
  111  5.10315910E-003  1.53094573E-003
  121  4.80306301E-003  1.44091690E-003
  131  4.52061439E-003  1.35618232E-003
  141  4.25477546E-003  1.27643064E-003
  151  4.00456946E-003  1.20136884E-003
  161  3.76907710E-003  1.13072113E-003
  171  3.54743311E-003  1.06422793E-003
  181  3.33882314E-003  1.00164494E-003
  191  3.14248069E-003  9.42742208E-004
  201  2.95768437E-003  8.87303312E-004
  211  2.78375520E-003  8.35124559E-004
  221  2.62005411E-003  7.86014233E-004
  231  2.46597964E-003  7.39791892E-004
  241  2.32096568E-003  6.96287704E-004
  251  2.18447942E-003  6.55341827E-004
  261  2.05601938E-003  6.16803815E-004
  271  1.93511357E-003  5.80532072E-004
  281  1.82131776E-003  5.46393327E-004
  291  1.71421382E-003  5.14262147E-004
  301  1.61340825E-003  4.84020475E-004
  311  1.51853066E-003  4.55557197E-004
  321  1.42923244E-003  4.28767732E-004
  331  1.34518550E-003  4.03553650E-004
  341  1.26608103E-003  3.79822308E-004
  351  1.19162838E-003  3.57486514E-004
  361  1.12155400E-003  3.36464199E-004
  371  1.05560041E-003  3.16678124E-004
  381  9.93525301E-004  2.98055590E-004
  391  9.35100581E-004  2.80528174E-004
  401  8.80111588E-004  2.64031476E-004
  411  8.28356281E-004  2.48504884E-004
  421  7.79644500E-004  2.33891350E-004
  431  7.33797267E-004  2.20137180E-004
  441  6.90646129E-004  2.07191839E-004
  451  6.50032540E-004  1.95007762E-004
  461  6.11807275E-004  1.83540183E-004
  471  5.75829888E-004  1.72746966E-004
  481  5.41968189E-004  1.62588457E-004
  491  5.10097764E-004  1.53027329E-004
