# iter  residual_norm2  entropy_norm2
# Fortran-like CFL history for Bump, Roe scheme, CFL=1.5
    1  9.91702293E-003  2.97510488E-003
   11  9.12410235E-003  2.73722871E-003
   21  8.39458021E-003  2.51837206E-003
   31  7.72338743E-003  2.31701423E-003
   41  7.10586027E-003  2.13175608E-003
   51  6.53770785E-003  1.96131036E-003
   61  6.01498239E-003  1.80449272E-003
   71  5.53405175E-003  1.66021353E-003
   81  5.09157421E-003  1.52747026E-003
   91  4.68447521E-003  1.40534056E-003
  101  4.30992605E-003  1.29297582E-003
  111  3.96532419E-003  1.18959526E-003
  121  3.64827517E-003  1.09448055E-003
  131  3.35657600E-003  1.00697080E-003
  141  3.08819980E-003  9.26457939E-004
  151  1.02020134E-003  1.02020134E-004
  161  1.24607673E-003  1.24607673E-004
  171  1.52196156E-003  1.52196156E-004
  181  1.85892804E-003  1.85892804E-004
  191  2.27049984E-003  2.27049984E-004
  201  2.77319476E-003  2.77319476E-004
  211  3.38718773E-003  3.38718773E-004
  221  4.13712044E-003  4.13712044E-004
  231  5.05309032E-003  5.05309032E-004
  241  6.17185845E-003  6.17185845E-004
  251  7.53832493E-003  7.53832493E-004
  261  9.20733087E-003  9.20733087E-004
  271  1.12458593E-002  1.12458593E-003
  281  1.37357236E-002  1.37357236E-003
  291  1.67768507E-002  1.67768507E-003
  301  2.04912917E-002  2.04912917E-003
  311  2.50281202E-002  2.50281202E-003
  321  3.05694150E-002  3.05694150E-003
  331  3.73375678E-002  3.73375678E-003
  341  4.56042083E-002  4.56042083E-003
  351  5.57011058E-002  5.57011058E-003
  361  6.80334843E-002  6.80334843E-003
  371  8.30962854E-002  8.30962854E-003
  381  1.01494032E-001  1.01494032E-002
  391  1.23965091E-001  1.23965091E-002
  401  1.51411304E-001  1.51411304E-002
  411  1.84934184E-001  1.84934184E-002
  421  2.25879123E-001  2.25879123E-002
  431  2.75889383E-001  2.75889383E-002
  441  3.36972054E-001  3.36972054E-002
  451  4.11578596E-001  4.11578596E-002
  461  5.02703232E-001  5.02703232E-002
  471  6.14003114E-001  6.14003114E-002
  481  7.49945097E-001  7.49945097E-002
  491  9.15985010E-001  9.15985010E-002
